"","Loading","PC1.v","PC2.v"
"528","SMC1B",0.016960791,0.002138696
"529","PLK4",0.01693384,0.005434554
"530","RECQL4",0.016922875,-0.004272579
"531","STX1A",0.016897139,0.002295508
"532","SLCO5A1",0.016868135,-0.014160801
"533","DAND5",0.016843301,0.003024471
"534","CDCA7",0.016829187,0.003534828
"535","PHYHIPL",0.016813729,-0.021354379
"536","KLK12",0.016802021,-0.005792521
"537","FOXE3",0.016795452,0.0030312
"538","GNGT1",0.016791405,0.005325523
"539","DNMT3B",0.016781533,0.00441968
"540","CTHRC1",0.016778246,0.017163052
"541","NKX2-1",0.016769818,0.05274192
"542","TMEM151A",0.016765013,-0.000455683
"543","LMO1",0.016763435,0.001146785
"544","CENPM",0.016758671,0.009188009
"545","CBLN1",0.016732273,-0.00138644
"546","GRIN2C",0.0167259,0.00510416
"547","SPSB4",0.016723537,0.013044798
"548","HMX3",0.016691396,0.000116631
"549","HMSD",0.016679441,0.01724343
"550","PARPBP",0.01665104,0.004498041
"551","FANCB",0.016642299,0.003172033
"552","PLEKHG4B",0.016635743,-0.00193225
"553","RAB3C",0.016626826,0.004503467
"554","SYN1",0.016604562,-0.001017534
"555","C3orf67",0.016593626,0.004380671
"556","SRSF12",0.016578122,-0.008306855
"557","OTX2",0.01656242,0.001771141
"558","TRIM46",0.016536336,0.001405524
"559","MTFR2",0.016533386,0.015203954
"560","MTMR7",0.016517201,0.004526047
"561","IGFL4",0.016513632,0.00070083
"562","ANK1",0.016513219,-0.006017817
"563","TEX101",0.016512308,0.001694954
"564","DOC2A",0.016495448,-0.001898895
"565","RASAL1",0.01649496,0.006011368
"566","CHRNA9",0.016486139,0.012059081
"567","HIST1H2AI",0.01645358,-0.002046036
"568","LCN15",0.016431926,-0.010217446
"569","SIX2",0.016430105,-0.008654442
"570","C2CD4C",0.016409418,0.003506959
"571","TLX3",0.016389403,0.001856723
"572","OLFM3",0.016375081,-0.000864272
"573","POLE2",0.016365658,0.00444098
"574","L1CAM",0.016364204,-0.008100775
"575","FOXO6",0.016349338,-0.004055123
"576","CDC25A",0.016348124,-2.72e-05
"577","CASKIN1",0.016334691,-0.015720013
"578","FOXD3",0.01633397,-0.010992899
"579","MTHFS",0.016319906,-0.007350844
"580","NETO1",0.016307472,0.005374622
"581","HIST1H1B",0.016292092,0.000644305
"582","ZNF730",0.016248235,0.000299024
"583","TLX1",0.016215463,-0.001191335
"584","IBSP",0.016211349,0.008789283
"585","HIST1H3C",0.016203573,-0.003039038
"586","GAS2L3",0.01618041,0.011453818
"587","CSMD2",0.016151604,0.002319775
"588","FAM171A2",0.016119058,0.001160966
"589","CNTD2",0.016102345,-0.003017797
"590","SLC18A3",0.016065854,-0.000822301
"591","SHCBP1",0.016044498,0.014538217
"592","MYLK2",0.016036007,0.004997447
"593","RFC4",0.016023604,0.003537139
"594","AMPH",0.016021268,-0.004307512
"595","FANCI",0.01601464,0.003945164
"596","HIST1H3B",0.015991097,-0.001653258
"597","SBK1",0.015990542,0.001197545
"598","MSI1",0.015981744,-0.014297298
"599","KCNMB2",0.015977018,-0.000483999
"600","DIAPH3",0.015970473,0.017469331
"601","RACGAP1",0.015962855,0.008563881
"602","NCAM1",0.015957052,-0.010556782
"603","PPP1R17",0.015927321,0.007807786
"604","TSPEAR",0.015924937,0.009585708
"605","TMSB15B",0.015917913,-0.003074973
"606","PAH",0.01591719,-0.009106904
"607","ATP2B2",0.015915974,-0.005062308
"608","PEG10",0.015912364,0.014405337
"609","UGT2A1",0.015885481,0.001670879
"610","PGAM2",0.015885086,-0.00559633
"611","MMP11",0.0158825,0.00596621
"612","VWC2L",0.01585484,-0.000121039
"613","NEUROD2",0.015844073,-0.000570497
"614","PABPC1L",0.015836432,0.003707439
"615","ZNF488",0.015834309,-0.004427061
"616","OR2B6",0.015831904,-0.001299478
"617","CHRNB4",0.015814148,0.004990659
"618","LYPD1",0.015806592,0.010413653
"619","LIN28B",0.015793543,0.001015675
"620","MEX3B",0.015788447,-0.000889521
"621","ASXL3",0.015784981,-0.008327716
"622","TBR1",0.015779614,-0.001563291
"623","SRRM3",0.01577833,-0.00610753
"624","DNAJC6",0.015751379,0.004426384
"625","CHTF18",0.015747471,0.000969089
"626","GNG3",0.015713234,-0.004493672
"627","C12orf42",0.015711141,0.004530292
"628","CIT",0.015701533,0.019934912
"629","ENTPD8",0.015656429,-0.000512311
"630","MAGEA1",0.015620717,0.00369423
"631","HFM1",0.015593557,-0.003057185
"632","HOXB5",0.015590018,0.019215283
"633","TMEM178B",0.015576598,-0.017437286
"634","NXF2",0.015556412,0.006432332
"635","IGDCC3",0.015534107,-0.003008538
"636","NDST4",0.015526895,-0.012603751
"637","PNMA3",0.0155025,-0.002977084
"638","FGF5",0.015491443,-0.001462544
"639","AKR7L",0.015490868,0.000884305
"640","TIMELESS",0.015485366,0.004015326
"641","AUNIP",0.015469396,0.005431127
"642","SIM1",0.015468937,-0.00536078
