Loading,PC1.v,PC2.v
HIST1H1B,0.016292092,6.44305e-4
ZNF730,0.016248235,2.99024e-4
TLX1,0.016215463,-0.001191335
IBSP,0.016211349,0.008789283
HIST1H3C,0.016203573,-0.003039038
GAS2L3,0.01618041,0.011453818
CSMD2,0.016151604,0.002319775
FAM171A2,0.016119058,0.001160966
CNTD2,0.016102345,-0.003017797
SLC18A3,0.016065854,-8.22301e-4
SHCBP1,0.016044498,0.014538217
MYLK2,0.016036007,0.004997447
RFC4,0.016023604,0.003537139
AMPH,0.016021268,-0.004307512
FANCI,0.01601464,0.003945164
HIST1H3B,0.015991097,-0.001653258
SBK1,0.015990542,0.001197545
MSI1,0.015981744,-0.014297298
KCNMB2,0.015977018,-4.83999e-4
DIAPH3,0.015970473,0.017469331
RACGAP1,0.015962855,0.008563881
NCAM1,0.015957052,-0.010556782
PPP1R17,0.015927321,0.007807786
TSPEAR,0.015924937,0.009585708
TMSB15B,0.015917913,-0.003074973
PAH,0.01591719,-0.009106904
ATP2B2,0.015915974,-0.005062308
PEG10,0.015912364,0.014405337
UGT2A1,0.015885481,0.001670879
PGAM2,0.015885086,-0.00559633
MMP11,0.0158825,0.00596621
VWC2L,0.01585484,-1.21039e-4
NEUROD2,0.015844073,-5.70497e-4
PABPC1L,0.015836432,0.003707439
ZNF488,0.015834309,-0.004427061
OR2B6,0.015831904,-0.001299478
CHRNB4,0.015814148,0.004990659
LYPD1,0.015806592,0.010413653
LIN28B,0.015793543,0.001015675
MEX3B,0.015788447,-8.89521e-4
ASXL3,0.015784981,-0.008327716
TBR1,0.015779614,-0.001563291
SRRM3,0.01577833,-0.00610753
DNAJC6,0.015751379,0.004426384
CHTF18,0.015747471,9.69089e-4
GNG3,0.015713234,-0.004493672
C12orf42,0.015711141,0.004530292
CIT,0.015701533,0.019934912
ENTPD8,0.015656429,-5.12311e-4
MAGEA1,0.015620717,0.00369423
HFM1,0.015593557,-0.003057185
HOXB5,0.015590018,0.019215283
TMEM178B,0.015576598,-0.017437286
NXF2,0.015556412,0.006432332
IGDCC3,0.015534107,-0.003008538
NDST4,0.015526895,-0.012603751
PNMA3,0.0155025,-0.002977084
FGF5,0.015491443,-0.001462544
AKR7L,0.015490868,8.84305e-4
TIMELESS,0.015485366,0.004015326
AUNIP,0.015469396,0.005431127
SIM1,0.015468937,-0.00536078
HOXC9,0.015434243,0.004484812
SLITRK1,0.015420337,-0.005343488
MYO3A,0.01542022,0.003371233
DONSON,0.015414503,0.004867602
DBH,0.015395637,0.004522023
NCAPG2,0.015394432,0.004553061
NLRP11,0.015369358,-0.001983243
LRRC7,0.015365689,-0.011404396
KCNH6,0.01534148,-0.023038643
KIAA1524,0.015328118,0.003517595
ZIC3,0.015316297,-0.005380362
